LEFT,-1,2147483647,6,66,LEFT
LEFT,-1,2147483647,5,65,LEFT
LEFT,-1,2147483647,4,64,LEFT
LEFT,-1,2147483647,3,63,LEFT
LEFT,-1,2147483647,2,62,LEFT
LEFT,-1,2147483647,1,61,LEFT
LEFT,-1,2147483647,4,60,LEFT
LEFT,-1,2147483647,3,59,LEFT
LEFT,-1,2147483647,2,58,LEFT
LEFT,-1,2147483647,1,57,LEFT
LEFT,-1,2147483647,4,56,LEFT
LEFT,-1,2147483647,3,55,RIGHT
RIGHT,-1,2147483647,4,56,RIGHT
RIGHT,-1,2147483647,5,57,RIGHT
RIGHT,-1,2147483647,6,58,RIGHT
RIGHT,-1,2147483647,5,59,RIGHT
RIGHT,-1,2147483647,4,60,RIGHT
RIGHT,-1,2147483647,5,61,RIGHT
RIGHT,-1,2147483647,6,62,RIGHT
RIGHT,-1,2147483647,7,63,RIGHT
RIGHT,-1,2147483647,8,64,RIGHT
RIGHT,-1,2147483647,7,65,RIGHT
RIGHT,-1,2147483647,6,66,RIGHT
RIGHT,-1,2147483647,5,65,RIGHT
RIGHT,-1,2147483647,4,64,RIGHT
RIGHT,-1,2147483647,3,63,RIGHT
RIGHT,-1,2147483647,2,62,RIGHT
RIGHT,-1,2147483647,1,61,RIGHT
RIGHT,-1,2147483647,4,60,RIGHT
RIGHT,-1,2147483647,3,59,RIGHT
RIGHT,-1,2147483647,2,58,RIGHT
RIGHT,-1,2147483647,1,57,RIGHT
RIGHT,-1,2147483647,4,56,RIGHT
RIGHT,-1,2147483647,3,55,RIGHT
RIGHT,-1,2147483647,2,54,RIGHT
RIGHT,-1,2147483647,1,53,RIGHT
RIGHT,-1,2147483647,4,52,RIGHT
RIGHT,-1,2147483647,3,51,RIGHT
RIGHT,-1,2147483647,2,50,RIGHT
RIGHT,-1,2147483647,1,49,RIGHT
RIGHT,-1,2147483647,4,48,UP
UP,-1,2147483647,3,49,UP
UP,-1,2147483647,2,50,UP
UP,-1,2147483647,1,51,UP
UP,-1,2147483647,4,52,UP
UP,-1,2147483647,3,53,UP
UP,-1,2147483647,2,54,UP
UP,-1,2147483647,1,55,UP
UP,-1,2147483647,4,56,UP
UP,-1,2147483647,3,57,UP
UP,-1,2147483647,2,58,UP
UP,-1,2147483647,1,59,UP
UP,-1,2147483647,4,60,RIGHT
RIGHT,-1,2147483647,3,59,RIGHT
RIGHT,-1,2147483647,2,58,RIGHT
RIGHT,-1,2147483647,1,57,RIGHT
RIGHT,-1,2147483647,4,56,RIGHT
RIGHT,-1,2147483647,3,55,RIGHT
RIGHT,-1,2147483647,2,54,RIGHT
RIGHT,-1,2147483647,1,53,RIGHT
RIGHT,-1,2147483647,4,52,RIGHT
RIGHT,-1,2147483647,3,51,RIGHT
RIGHT,-1,2147483647,2,50,RIGHT
RIGHT,-1,2147483647,1,49,RIGHT
RIGHT,-1,2147483647,4,48,RIGHT
RIGHT,-1,2147483647,3,47,RIGHT
RIGHT,-1,2147483647,2,46,RIGHT
RIGHT,-1,2147483647,1,45,RIGHT
RIGHT,-1,2147483647,4,44,RIGHT
RIGHT,-1,2147483647,3,43,RIGHT
RIGHT,-1,2147483647,2,42,RIGHT
RIGHT,-1,2147483647,1,41,RIGHT
RIGHT,-1,2147483647,4,40,RIGHT
RIGHT,-1,2147483647,3,39,RIGHT
RIGHT,-1,2147483647,2,38,RIGHT
RIGHT,-1,2147483647,1,37,RIGHT
RIGHT,-1,2147483647,4,36,UP
UP,-1,2147483647,3,37,UP
UP,-1,2147483647,2,38,UP
UP,-1,2147483647,1,39,UP
UP,-1,2147483647,4,40,UP
UP,-1,2147483647,3,41,UP
